GO_BP	Gene_Size	Gene_List
GO:0000209:protein polyubiquitination	250	AKTIP,AMFR,ANKIB1,AREL1,ARIH1,ARIH2,BCL2,BFAR,BIRC2,BLMH,BTRC,C10orf90,CBFB,CBL,CCNF,CDC34,CHFR,CTNNB1,CUL1,CUL3,DCAF15,DDA1,DDB2,DTL,DTX3L,DZIP3,ERCC8,FBXL12,FBXL13,FBXL14,FBXL15,FBXL16,FBXL17,FBXL18,FBXL19,FBXL20,FBXL21P,FBXL22,FBXL3,FBXL4,FBXL5,FBXL7,FBXL8,FBXO10,FBXO11,FBXO15,FBXO17,FBXO2,FBXO21,FBXO22,FBXO27,FBXO30,FBXO31,FBXO32,FBXO4,FBXO40,FBXO41,FBXO44,FBXO6,FBXO7,FBXO9,FBXW10,FBXW11,FBXW12,FBXW2,FBXW4,FBXW5,FBXW7,FBXW8,FBXW9,H3BMM0,HACE1,HDAC6,HECTD2,HECW1,HECW2,HERC5,HERC6,HUWE1,IRF2BP1,ITCH,KLHL42,LMO7,LNPEP,LONRF1,LRSAM1,MARCHF1,MARCHF5,MARCHF8,MDM2,MGRN1,MIB2,MKRN1,MYLIP,NEDD4,NEDD4L,NFE2L1,NHLRC1,NHLRC3,NPEPPS,PELI1,PELI2,PELI3,PPIL2,PRKN,PRPF19,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RBBP6,RBCK1,RBX1,RC3H1,RC3H2,RLIM,RMND5A,RNF111,RNF114,RNF115,RNF125,RNF135,RNF14,RNF144A,RNF144B,RNF165,RNF166,RNF167,RNF180,RNF183,RNF19A,RNF19B,RNF20,RNF213,RNF217,RNF31,RNF41,RPS27A,RUSC1,SASH1,SHPRH,SIAH1,SIAH2,SKP1,SKP2,SMURF1,SMURF2,SPOP,SPSB1,STUB1,TAF1,THOP1,TMEM129,TNKS,TNKS2,TOPORS,TPP2,TRAF6,TRIM2,TRIM21,TRIM22,TRIM3,TRIM32,TRIM34,TRIM36,TRIM38,TRIM5,TRIM58,TRIM6,TRIM6-TRIM34,TRIM69,TRIM71,TRIP12,UBA52,UBB,UBC,UBE2A,UBE2B,UBE2C,UBE2D1,UBE2D2,UBE2D3,UBE2E1,UBE2G1,UBE2G2,UBE2J2,UBE2K,UBE2L3,UBE2S,UBE2T,UBE2U,UBE2V1,UBE2V2,UBE2W,UBE3B,UBE3C,UBE3D,UBE4A,UBE4B,UBOX5,UBR2,UBR5,UNKL,WSB1,WWP1,WWP2,ZNF738,ZNRF1,ZNRF2,ZSWIM2
GO:0000212:meiotic spindle organization	6	ATRX,ESPL1,MOS,MYH9,TUBG1,TUBG2
GO:0000226:microtubule cytoskeleton organization	135	A0A0B4J269,APC2,ATXN3,ATXN7,BBS4,BCCIP,CALM1,CALM2,CALM3,CALML3,CALML4,CALML5,CALML6,CAMSAP1,CAMSAP2,CAMSAP3,CCDC170,CCDC8,CDC14A,CDC14B,CDC14C,CDK1,CDK5,CDK5R1,CDK5RAP2,CLASP1,CLASP2,CNP,CNTN2,CRMP1,CUL7,CUL9,DCLK2,DISC1,DOCK7,DYNC1LI1,DYNC1LI2,EFCAB11,EML1,EML2,EML3,EML4,FER,GABARAP,GAPDH,GAS2,GAS2L1,GAS2L2,GAS2L3,H3BSA7,KIF2A,MAP1A,MAP1B,MAP1S,MAP2,MAP4,MAP6,MAP6D1,MAP7,MAP7D1,MAP7D2,MAP7D3,MAPT,MARK1,MARK2,MARK3,MARK4,MID1,NEFH,NEFL,OBSL1,PAFAH1B1,PARD3,PARD3B,PCNT,PHLDB2,PPP2R3C,PRC1,PRKCZ,PTK2,RNF19A,SIK3,SKAP1,SON,SPATA7,SS18,TACC1,TACC2,TACC3,TAOK1,TBCD,TBCE,TBCEL,TOGARAM1,TOGARAM2,TTBK2,TTL,TTLL1,TTLL11,TTLL13P,TTLL2,TTLL4,TTLL5,TTLL6,TTLL7,TTLL9,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,TUBB,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B,TUBD1,TUBE1,TUBG1,TUBG2,ULK4,UXT,VAMP4,WDR47,WEE1,ZPR1
GO:0000244:spliceosomal tri-snRNP complex assembly	13	AAR2,CD2BP2,DDX20,LSM2,PRPF19,PRPF3,PRPF31,PRPF6,PRPF8,SART3,SRSF10,SRSF12,USP4
GO:0000245:spliceosomal complex assembly	25	CRNKL1,DDX1,DDX39B,GCFC2,GEMIN2,GEMIN6,NCBP1,PRPF19,PRPF6,RBM5,SCAF11,SF1,SF3A2,SF3B1,SMN1,SNRPD1,SNRPD2,SNRPE,SNRPG,SRPK1,SRPK2,SRPK3,TXNL4A,USP39,ZRSR2
GO:0000266:mitochondrial fission	19	COX10,DNM1,DNM1L,DNM2,DNM3,FIS1,GDAP1,GGNBP1,MFF,MIEF1,MTFP1,MTFR1,MTFR1L,MTFR2,MUL1,MX1,MX2,OPA1,PRKN
GO:0000272:polysaccharide catabolic process	2	CHIA,CHIT1
GO:0000278:mitotic cell cycle	135	A0A0B4J269,ABL1,ABRAXAS2,AKAP8,ANAPC11,ARPP19,AURKA,AZI2,BUB1B,CCNO,CDC14A,CDC14B,CDC14C,CDC23,CDC25B,CDC5L,CDC6,CDCA5,CDH13,CDK11A,CDK11B,CDT1,CENPC,CENPE,CENPF,CENPT,CENPW,CEP250,CETN1,CETN2,CIT,CLIP1,CLTC,CLTCL1,DCTN1,DCTN3,DIS3L2,DNMT3A,DYNC1H1,EML4,ENSA,ERF,FBXL7,GEM,HASPIN,HGF,IK,JTB,KIF11,KIF15,KIF18B,KIF22,MASTL,MCPH1,MEN1,MYB,MYBL1,MYBL2,NDC80,NEK2,NEK3,NEK4,NOLC1,NUDT15,NUP214,NUP88,OFD1,ORC1,PBK,PBRM1,PHF13,PKMYT1,PLK1,PLK2,PLK3,PLK4,POLE,PPP1R12A,PPP2R2D,PPP5C,PRDM5,RAB6C,RAN,RECQL5,RGS14,RNF2,RRM1,SETDB2,SKA1,SKA2,SKA3,SMC3,SRSF2,SUGT1,TADA3,TBCD,TPX2,TTYH1,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,TUBB,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B,TUBD1,TUBE1,TUBG1,TUBG2,TUBGCP2,TUBGCP3,TUBGCP4,TUBGCP5,TUBGCP6,USP16,USP3,VCPIP1,WAPL,WDHD1,XRCC2,YEATS4,ZNF830,ZNRD2
GO:0000281:mitotic cytokinesis	52	ANK3,ANLN,APC,ARL3,BBS4,CENPA,CEP55,CFL1,CHMP4B,CIT,CKAP2,CUL7,ECT2,EFHC1,ESPL1,INCENP,JTB,KIF20A,KIF23,KIF4A,KIF4B,LZTS2,MAP9,MITD1,MYH10,NUSAP1,PDCD6IP,PLK1,PRC1,Q9H521,RAB35,RACGAP1,RASA1,RHOB,RHOC,ROCK1,ROCK2,RTKN,SEPTIN6,SNX18,SNX33,SNX9,SON,SPAST,SPTBN1,STAMBP,STMN1,TRIM36,TTC19,UNC119,USP8,ZFYVE26
GO:0000288:nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	10	CNOT1,CNOT2,CNOT3,DCPS,PDE12,POLR2D,RC3H1,ZFP36,ZFP36L1,ZFP36L2
GO:0000289:nuclear-transcribed mRNA poly(A) tail shortening	22	CNOT1,CNOT10,CNOT11,CNOT2,CNOT3,CNOT4,CNOT6,CNOT6L,CNOT7,CNOT8,CNOT9,MLH1,PAN2,PAN3,PARN,PNLDC1,SAMD4A,SAMD4B,TNKS1BP1,TUT4,TUT7,ZFP36
GO:0000290:deadenylation-dependent decapping of nuclear-transcribed mRNA	10	CNOT7,DCP1A,DCP1B,DCP2,DCPS,LSM1,NOCT,PAN3,PATL1,PATL2
GO:0000291:nuclear-transcribed mRNA catabolic process, exonucleolytic	2	DIS3L2,POLR2G
GO:0000294:nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay	2	UPF1,ZC3H12A
GO:0000301:retrograde transport, vesicle recycling within Golgi	2	CUX1,GOLGA5
GO:0000302:response to reactive oxygen species	13	APOD,APOE,CAT,COA8,GSTP1,HYAL1,HYAL2,NUDT15,PLK3,PPARGC1A,PTPRN,S100A7,TRA2B
GO:0000303:response to superoxide	4	ERCC6,SOD1,SOD2,UCP3
GO:0000320:re-entry into mitotic cell cycle	2	CCND1,CCNF
GO:0000338:protein deneddylation	10	COPS2,COPS3,COPS4,COPS5,COPS6,COPS7A,COPS7B,COPS8,GPS1,TOR1A
GO:0000349:generation of catalytic spliceosome for first transesterification step	2	PRPF19,XAB2
GO:0000350:generation of catalytic spliceosome for second transesterification step	3	ISY1,M0R3G1,PRPF18
GO:0000354:cis assembly of pre-catalytic spliceosome	2	DDX23,SNRNP200
GO:0000375:RNA splicing, via transesterification reactions	25	BCAS2,DBR1,DDX23,GEMIN2,KHSRP,LSM1,MPHOSPH10,PRPF3,PRPF4,PRPF6,PRPF8,SCAF11,SF3A3,SF3B1,SF3B3,SF3B4,SLU7,SMNDC1,SNRNP40,SRRM1,SRSF10,SRSF4,TRA2B,TXNL4A,WDR83
GO:0000379:tRNA-type intron splice site recognition and cleavage	3	TSEN2,TSEN34,TSEN54
GO:0000380:alternative mRNA splicing, via spliceosome	18	CDK13,CELF4,DDX17,DDX5,DHX9,ESRP2,HNRNPM,KDM1A,PQBP1,PUF60,RBM17,RSRC1,SCNM1,SFPQ,SFSWAP,SLU7,SRSF1,SRSF6
GO:0000381:regulation of alternative mRNA splicing, via spliceosome	77	CELF1,CELF2,CELF3,CELF4,CELF5,CELF6,DDX17,DDX5,DYRK1A,FAM172A,FMR1,FXR1,FXR2,HNRNPA1,HNRNPL,HNRNPU,I3L521,IK,KHDRBS1,KHDRBS2,KHDRBS3,MAGOH,MBNL1,MBNL2,MBNL3,MYOD1,NOVA1,NOVA2,NSRP1,PTBP1,PUF60,QKI,RBFOX1,RBFOX2,RBFOX3,RBM10,RBM11,RBM14-RBM4,RBM15,RBM15B,RBM17,RBM19,RBM24,RBM25,RBM4,RBM4B,RBM5,RBM7,RBM8A,RBMX,RBMY1A1,RBMY1F,REST,RNPS1,SAP18,SART3,SF1,SMU1,SREK1,SRRM4,SRSF1,SRSF10,SRSF12,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF7,SRSF8,SRSF9,THRAP3,TRA2B,WTAP,YTHDC1,ZBTB7A,ZC3H10
GO:0000387:spliceosomal snRNP assembly	28	CLNS1A,COIL,DDX20,GEMIN2,GEMIN4,GEMIN5,GEMIN6,GEMIN7,GEMIN8,LSM4,PRMT5,PRMT7,SART1,SART3,SMN1,SNRPB,SNRPC,SNRPD1,SNRPD2,SNRPD3,SNRPE,SNRPF,SNRPG,SNRPGP15,SNUPN,STRAP,TGS1,WDR77
GO:0000389:mRNA 3'-splice site recognition	6	ISY1,SF1,SF3A1,SF3A2,SF3A3,SLU7
GO:0000390:spliceosomal complex disassembly	2	DHX8,TFIP11
GO:0000395:mRNA 5'-splice site recognition	6	PRPF39,PSIP1,SFSWAP,SNRPC,SRSF1,SRSF12
GO:0000398:mRNA splicing, via spliceosome	249	ALYREF,AQR,BCAS2,BUD13,BUD31,CACTIN,CASC3,CCAR1,CD2BP2,CDC40,CDC5L,CHERP,CLP1,CPSF1,CPSF2,CPSF3,CPSF4,CPSF7,CRNKL1,CSTF1,CSTF2,CSTF2T,CSTF3,CTNNBL1,CWC15,CWC22,CWC25,CWC27,CWF19L1,CWF19L2,DBR1,DDX23,DDX39A,DDX39B,DDX41,DDX42,DDX46,DDX5,DHX15,DHX16,DHX35,DHX38,DHX40,DHX8,DHX9,DNAJC8,EFTUD2,EIF4A3,ELAVL1,ELAVL2,ESS2,FIP1L1,FRG1,FUS,GCFC2,GEMIN5,GEMIN6,GEMIN7,GPATCH1,GPKOW,GTF2F1,GTF2F2,HNRNPA0,HNRNPA1,HNRNPA2B1,HNRNPA3,HNRNPC,HNRNPD,HNRNPF,HNRNPH1,HNRNPH2,HNRNPH3,HNRNPK,HNRNPL,HNRNPM,HNRNPR,HNRNPU,HNRNPUL1,HSPA8,HTATSF1,IK,ISY1,K7EQG2,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,M0R2N4,MAGOH,MAGOHB,METTL14,METTL3,MFAP1,MTREX,NCBP1,NCBP2,NCBP2L,NONO,NOVA1,NOVA2,NUDT21,PABPC1,PABPN1,PAPOLA,PCBP1,PCBP2,PCF11,PDCD7,PHF5A,PLRG1,PNN,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,PPIE,PPIH,PPIL1,PPIL3,PPWD1,PQBP1,PRCC,PRPF19,PRPF3,PRPF31,PRPF38A,PRPF4,PRPF40A,PRPF40B,PRPF4B,PRPF6,PRPF8,PSPC1,PTBP1,PUF60,RALY,RAVER1,RAVER2,RBM10,RBM17,RBM22,RBM5,RBM6,RBM8A,RBMX,RBMX2,RBMXL2,RBMXL3,RBMY1C,RBMY1D,RBMY1E,RNF113A,RNPC3,RNPS1,RSRC1,SART1,SART3,SF1,SF3A1,SF3A2,SF3A3,SF3B1,SF3B2,SF3B3,SF3B4,SF3B5,SF3B6,SFPQ,SLU7,SMNDC1,SMU1,SNIP1,SNRNP200,SNRNP25,SNRNP27,SNRNP35,SNRNP40,SNRNP48,SNRNP70,SNRPA,SNRPA1,SNRPB,SNRPB2,SNRPC,SNRPD1,SNRPD2,SNRPD3,SNRPE,SNRPF,SNRPG,SNRPGP15,SNRPN,SNU13,SNW1,SRRM1,SRRM2,SRRT,SRSF1,SRSF10,SRSF11,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF7,SRSF9,SUGP1,SYF2,SYMPK,SYNCRIP,TFIP11,TRA2A,TRA2B,TXNL4A,TXNL4B,U2AF1,U2AF1L4,U2AF1L5,U2AF2,U2SURP,UBL5,UPF3B,USP39,USP49,WBP11,WBP4,WDR33,WDR83,XAB2,YBX1,YTHDC1,ZCCHC8,ZCRB1,ZMAT2,ZMAT5,ZRSR2,ZRSR2P1
GO:0000413:protein peptidyl-prolyl isomerization	46	AIP,AIPL1,CWC27,FKBP10,FKBP11,FKBP14,FKBP15,FKBP1A,FKBP1B,FKBP1C,FKBP2,FKBP3,FKBP4,FKBP5,FKBP6,FKBP7,FKBP8,FKBP9,FKBP9P1,LOC105371242,NKTR,PIN1,PIN1P1,PIN4,PPIA,PPIAL4A,PPIAL4C,PPIAL4D,PPIAL4E,PPIAL4F,PPIAL4G,PPIB,PPIC,PPID,PPIE,PPIF,PPIG,PPIH,PPIL1,PPIL2,PPIL3,PPIL4,PPIL6,PPWD1,PTPA,RANBP2
GO:0000422:autophagy of mitochondrion	38	AMBRA1,ATG12,ATG13,ATG2A,ATG2B,ATG3,ATG5,ATG7,ATG9A,ATG9B,BECN1,BNIP3,CISD2,CTSK,FBXO7,FIS1,FUNDC1,FUNDC2,GABARAP,GABARAPL1,GABARAPL2,GABARAPL3,MAP1LC3A,MAP1LC3B,MAP1LC3B2,MAP1LC3C,MARK2,PINK1,PPARGC1A,PRKN,RB1CC1,SLC25A46,SQSTM1,USP30,WDR45,WDR45B,WIPI1,WIPI2
GO:0000423:mitophagy	6	AMBRA1,ATG13,ATG14,BECN1,PRKN,SQSTM1
GO:0000430:regulation of transcription from RNA polymerase II promoter by glucose	2	USF1,USF2
GO:0000432:positive regulation of transcription from RNA polymerase II promoter by glucose	3	FOXA2,USF1,USF2
GO:0000447:endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9	ABT1,FCF1,KRI1,NOP14,RCL1,RPP40,RPS21,RRS1,UTP20
GO:0000448:cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2	BOP1,NOL9
GO:0000451:rRNA 2'-O-methylation	3	MRM1,MRM2,MRM3
GO:0000454:snoRNA guided rRNA pseudouridine synthesis	3	GAR1,NAF1,NOP10
GO:0000455:enzyme-directed rRNA pseudouridine synthesis	4	DKC1,RPUSD1,RPUSD2,TSR3
GO:0000460:maturation of 5.8S rRNA	14	A0A0U1RQV5,C1D,EIF6,EXOSC10,EXOSC4,LAS1L,MAK16,MPHOSPH6,MTREX,NOL9,NSA2,PRKDC,RPF1,RRP15
GO:0000462:maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	26	BMS1,BYSL,DCAF13,DHX37,DIEXF,ERCC2,FAM207A,GTF2H5,HEATR1,LOC102724159,MRPS11,NGDN,NOL10,NOP14,PWP2,RPS14,RPS16,RPS19,RPS8,RRP36,TSR1,TSR2,UTP3,UTP4,UTP6,WDR46
GO:0000463:maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	14	BOP1,DDX18,FTSJ3,GTPBP4,NIFK,PES1,RPF2,RPL35,RPL7,RPL7L1,URB1,WDR12,ZNHIT3,ZNHIT6
GO:0000466:maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4	FTSJ3,PES1,URB1,WDR12
GO:0000467:exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8	ERI1,ERI3,EXOSC10,EXOSC2,EXOSC3,EXOSC7,EXOSC8,EXOSC9
GO:0000469:cleavage involved in rRNA processing	3	NHP2,NOB1,RRP36
GO:0000470:maturation of LSU-rRNA	14	A0A0U1RQV5,EIF6,LAS1L,MAK16,MRPL1,NHP2,NOP2,NSA2,RPF1,RPL10A,RPL7A,RRP15,RSL1D1,SNU13
GO:0000472:endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4	ABT1,NOP14,TBL3,UTP20
GO:0000479:endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3	BMS1,RCL1,TSR1
GO:0000480:endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7	ABT1,FCF1,NOP14,RCL1,TBL3,UTP20,UTP23
GO:0000492:box C/D snoRNP assembly	9	NUFIP1,PIH1D1,PIH1D2,RUVBL1,RUVBL2,SNU13,TAF9,ZNHIT3,ZNHIT6
GO:0000493:box H/ACA snoRNP assembly	2	NAF1,SHQ1
GO:0000494:box C/D snoRNA 3'-end processing	3	FBL,FBLL1,LARP7
GO:0000495:box H/ACA snoRNA 3'-end processing	2	DKC1,PARN
GO:0000578:embryonic axis specification	7	CITED1,COBL,CTNNB1,FZD5,STIL,WNT1,WNT7A
GO:0000706:meiotic DNA double-strand break processing	2	SLX4,SPO11
GO:0000710:meiotic mismatch repair	3	ERCC1,MSH3,MSH6
GO:0000711:meiotic DNA repair synthesis	3	SPATA22,SYCP1,TEX12
GO:0000712:resolution of meiotic recombination intermediates	17	CENPS,CENPX,EME1,EME2,ERCC4,FANCM,HFM1,MEIOB,MLH1,MSH4,MUS81,RMI1,SHOC1,SLX4,TEX11,TOP2A,TOP2B
GO:0000715:nucleotide-excision repair, DNA damage recognition	23	CETN2,COPS2,COPS3,COPS4,COPS5,COPS6,COPS7A,COPS7B,COPS8,CUL4A,CUL4B,DDB1,DDB2,GPS1,PARP1,RAD23B,RBX1,RPS27A,UBA52,UBB,UBC,XPA,XPC
GO:0000717:nucleotide-excision repair, DNA duplex unwinding	22	CETN2,CHD1L,CUL4A,CUL4B,DDB1,DDB2,ERCC2,ERCC3,GTF2H1,GTF2H2,GTF2H3,GTF2H4,GTF2H5,PARP1,RAD23B,RBX1,RPS27A,UBA52,UBB,UBC,XPA,XPC
GO:0000720:pyrimidine dimer repair by nucleotide-excision repair	4	ERCC1,HMGN1,SIRT1,XPC
GO:0000722:telomere maintenance via recombination	10	A0A1W2PPC4,BRCA2,NSMCE2,RAD50,RAD51,RAD51C,SMC5,SMC6,TEP1,XRCC3
GO:0000723:telomere maintenance	44	ACD,APEX1,ATM,ATR,BLM,CCNE1,CCNE2,CTC1,DCLRE1B,DNA2,ERCC4,HUS1,HUS1B,LTO1,MRE11,NBN,PARP1,PARP3,PCNA,PIF1,POLD1,POLD2,POLD3,POLD4,PRKDC,PTGES3,RAD50,RAD51D,RECQL4,RIF1,RPA1,RPA2,RPA3,RTEL1,SP100,STN1,TERF1,TERF2,TERF2IP,TERT,WRN,XRCC5,XRCC6,ZNF365
GO:0000724:double-strand break repair via homologous recombination	83	AP5S1,AP5Z1,ATM,AUNIP,BLM,BRCA1,BRCA2,CCDC155,ERCC4,EXD2,FAN1,FBH1,FEN1,GEN1,H2AX,HELQ,HUS1,HUS1B,INO80,KDM4D,LIG3,MCM8,MCM9,MEIOB,MMS22L,MORF4L1,MRE11,NABP1,NABP2,NBN,NSMCE1,NSMCE2,NUCKS1,PALB2,PARP1,POLL,POLN,POLQ,PSMD14,RAD21L1,RAD50,RAD51,RAD51AP1,RAD51AP2,RAD51B,RAD51C,RAD51D,RAD52,RAD54B,RBBP8,REC8,RECQL,RECQL4,RECQL5,REV3L,RFWD3,RMI1,RNF138,RPA1,RPA2,RPA3,RPA4,SAMHD1,SEM1,SFPQ,SFR1,SLX1A,SLX4,SMC5,SPIDR,STN1,SWI5,SWSAP1,TONSL,UBE2N,WDR48,WRN,XRCC1,XRCC2,XRCC3,YY1,ZFYVE26,ZSWIM7
GO:0000725:recombinational repair	2	FBH1,RHNO1
GO:0000727:double-strand break repair via break-induced replication	11	CDC45,CDC7,GINS2,GINS4,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MUS81
GO:0000729:DNA double-strand break processing	15	ATM,BARD1,BLM,BRCA1,DNA2,EXD2,KAT5,MRE11,NBN,RAD50,RBBP8,SETMAR,SMARCAD1,UBE2N,UBE2V2
GO:0000730:DNA recombinase assembly	4	DMC1,RAD51,RAD52,SWI5
GO:0000731:DNA synthesis involved in DNA repair	13	A0A087WWV3,CDKN2D,HROB,POLA1,POLD1,POLD3,POLD4,POLE,POLH,RFC3,SIRT1,WRN,WRNIP1
GO:0000733:DNA strand renaturation	8	BLM,RAD54L,RECQL,RECQL4,SMARCA1,SMARCAL1,TP53,ZRANB3
GO:0000737:DNA catabolic process, endonucleolytic	11	DNASE1,DNASE1L1,DNASE1L2,DNASE1L3,ENDOG,EXOG,FBH1,MUS81,REXO4,SETMAR,SPO11
GO:0000738:DNA catabolic process, exonucleolytic	6	AEN,ERI1,ERI3,ISG20,REXO4,XRN2
GO:0000768:syncytium formation by plasma membrane fusion	10	ERVFC1,ERVFC1-1,ERVFRD-1,ERVK-21,ERVPABLB-1,ERVS71-1,ERVW-1,HERVK_113,Q9N2J8,VASH2
GO:0000819:sister chromatid segregation	3	LATS1,TOP2A,TOP2B
GO:0000902:cell morphogenesis	89	ADAM8,ADD1,AP3B1,ARHGEF2,ARHGEF28,ASXL1,BCL6,CAP1,CAP2,CAPZB,CDH1,CDH10,CDH11,CDH12,CDH13,CDH15,CDH17,CDH18,CDH19,CDH2,CDH23,CDH24,CDH26,CDH3,CDH4,CDH5,CDH6,CDH7,CDH8,CDH9,CDHR3,CERT1,CLU,CSNK1A1,CYFIP1,CYFIP2,DMRT1,ECT2,EPB42,FRY,FRYL,GJE1,GP1BA,GREM1,HGF,IL7R,KLF2,KLHL10,LIPA,LRATD1,LST1,MAEL,MAPK14,MED1,MSX1,NCKAP1,NCKAP1L,NOX4,NRG1,P2RX7,PDPN,PRDM14,PSMB10,PTPRO,RP2,SART3,SCFD1,SHROOM1,SHROOM2,SHROOM3,SHROOM4,SIDT2,SLC39A3,SOX6,SS18,SSH1,STK4,STRADB,TBCC,TBCCD1,TFCP2L1,TGFB2,THOC2,UPK3A,VDR,VHL,WDR19,WNT3,YAP1
GO:0000904:cell morphogenesis involved in differentiation	3	CTNNB1,DKK1,RELN
GO:0000915:actomyosin contractile ring assembly	5	ANLN,KIF23,PDCD6IP,RACGAP1,RTKN
GO:0000956:nuclear-transcribed mRNA catabolic process	15	AGO1,DDX5,DHX34,DXO,EXOSC10,EXOSC4,EXOSC9,MRTO4,NBAS,NBDY,RC3H1,THRAP3,UPF1,XRN1,XRN2
GO:0000958:mitochondrial mRNA catabolic process	3	PDE12,PNPT1,SUPV3L1
GO:0000961:negative regulation of mitochondrial RNA catabolic process	2	LRPPRC,SLIRP
GO:0000962:positive regulation of mitochondrial RNA catabolic process	3	GRSF1,PNPT1,SUPV3L1
GO:0000963:mitochondrial RNA processing	2	FASTKD5,PNPT1
GO:0000964:mitochondrial RNA 5'-end processing	2	PNPT1,TRMT10C
GO:0000965:mitochondrial RNA 3'-end processing	2	PNPT1,SUPV3L1
GO:0000972:transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	4	LDB1,NUP133,NUP155,RAE1
GO:0000973:posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery	3	NUP107,NUP98,PCID2
GO:0001172:transcription, RNA-templated	2	POLR2A,TERT
GO:0001188:RNA polymerase I preinitiation complex assembly	9	BAZ2A,PIH1D1,POLR1E,RRN3,SMARCA4,SMARCB1,TAF1B,TAF1C,UBTF
GO:0001300:chronological cell aging	2	ENG,SERPINE1
GO:0001302:replicative cell aging	5	CHEK2,ERCC1,ROMO1,TP63,WRN
